date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:19	385737/385737	---MCZ	200	added ('OK')	text/html	etag:%224aecf9a2835a9726034db6619942ec02%22	https://oyen.framer.website/	C:/xampp/htdocs/httrack/oyen/oyen.framer.website/index.html	(from )
12:51:19	92/92	---M-Z	200	added ('OK')	text/plain	etag:%2287e3fc73ea83ff81c2d1ac658896040d%22	https://oyen.framer.website/robots.txt		(from )
12:51:20	88/88	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2004%20Nov%202022%2005:51:19%20GMT	https://framerusercontent.com/modules/uxMXhcPMOI1t9yGz2OCm/mV3vHh8BEsthb1jixqji/assets/QY5gY2sTT93QT50gnajL3124.jpg	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/modules/uxMXhcPMOI1t9yGz2OCm/mV3vHh8BEsthb1jixqji/assets/QY5gY2sTT93QT50gnajL3124.0.delayed	(from https://oyen.framer.website/)
12:51:21	97038/97038	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2005:51:21%20GMT	https://framerusercontent.com/images/QY5gY2sTT93QT50gnajL3124.jpg	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/QY5gY2sTT93QT50gnajL3124.jpg	(from https://oyen.framer.website/)
12:51:23	83727/83727	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:51:22%20GMT	https://framerusercontent.com/images/1vf9P8MVyOjDnaBbSxPHMKS7zs.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/1vf9P8MVyOjDnaBbSxPHMKS7zs.png	(from https://oyen.framer.website/)
12:51:24	10592/10592	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:51:23%20GMT	https://framerusercontent.com/images/2C6b3njpYjJyVONvDvi3TKhxA.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/2C6b3njpYjJyVONvDvi3TKhxA.png	(from https://oyen.framer.website/)
12:51:26	68510/68510	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:51:25%20GMT	https://framerusercontent.com/images/67laxKuR9BDBxvVY67d7jhF4uk.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/67laxKuR9BDBxvVY67d7jhF4uk.png	(from https://oyen.framer.website/)
12:51:27	12572/12572	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:51:26%20GMT	https://framerusercontent.com/images/Pdeud60lU5fYkAwXPiXlJsj0JY.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/Pdeud60lU5fYkAwXPiXlJsj0JY.png	(from https://oyen.framer.website/)
12:51:28	82988/82988	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:51:28%20GMT	https://framerusercontent.com/images/kpHawiyMkfUafEjTMyFNZB6Zk.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/kpHawiyMkfUafEjTMyFNZB6Zk.png	(from https://oyen.framer.website/)
12:51:59	1033/1033	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:51:59%20GMT	https://framerusercontent.com/images/MlZIKX3aG3T3fKm9OLyLZ8YqC8.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/MlZIKX3aG3T3fKm9OLyLZ8YqC8.png	(from https://oyen.framer.website/)
12:52:02	188135/188135	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:01%20GMT	https://framerusercontent.com/images/8Z7v1fEbj72Ga9ij36zGlWcB2Ys.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/8Z7v1fEbj72Ga9ij36zGlWcB2Ys.png	(from https://oyen.framer.website/)
12:52:03	171381/171381	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:02%20GMT	https://framerusercontent.com/images/GPKKhg0sHpQaECwhvBManzDzWic.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/GPKKhg0sHpQaECwhvBManzDzWic.png	(from https://oyen.framer.website/)
12:52:05	232636/232636	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:04%20GMT	https://framerusercontent.com/images/SuJGgBR82FhlGNUWESLaAzmjeoQ.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/SuJGgBR82FhlGNUWESLaAzmjeoQ.png	(from https://oyen.framer.website/)
12:52:05	136643/136643	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2005:52:04%20GMT	https://framerusercontent.com/images/WgoLc7ZAmVT6alhe5ruupADM.jpeg	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/WgoLc7ZAmVT6alhe5ruupADM.jpg	(from https://oyen.framer.website/)
12:52:06	35508/35508	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:06%20GMT	https://framerusercontent.com/images/VaWasVLLRq1zSb8XvmT3WMNDos.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/VaWasVLLRq1zSb8XvmT3WMNDos.png	(from https://oyen.framer.website/)
12:52:08	71307/71307	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:07%20GMT	https://framerusercontent.com/images/7ia990WSHpY9GIcMvAHNp9UakE.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/7ia990WSHpY9GIcMvAHNp9UakE.png	(from https://oyen.framer.website/)
12:52:09	61828/61828	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:09%20GMT	https://framerusercontent.com/images/Gm0ducvktM9GBSckmYPjED0sKkw.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/Gm0ducvktM9GBSckmYPjED0sKkw.png	(from https://oyen.framer.website/)
12:52:10	74704/74704	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2005:52:09%20GMT	https://framerusercontent.com/images/VBgxcVlIUXRlxwxomJZQMYGSQ0I.png	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/VBgxcVlIUXRlxwxomJZQMYGSQ0I.png	(from https://oyen.framer.website/)
12:52:12	117228/117228	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2005:52:11%20GMT	https://framerusercontent.com/images/h0gH168wC7V7nNoG8y42yPLqz7s.jpeg	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/h0gH168wC7V7nNoG8y42yPLqz7s.jpg	(from https://oyen.framer.website/)
12:52:13	93343/93343	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2005:52:12%20GMT	https://framerusercontent.com/images/Yo4BfC1lY9l9LaHAcfC5WE1euo.jpeg	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/Yo4BfC1lY9l9LaHAcfC5WE1euo.jpg	(from https://oyen.framer.website/)
12:52:14	98233/98233	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2005:52:13%20GMT	https://framerusercontent.com/images/T2rF2gVhtJHPrqZlGDe1GM7QMFM.jpeg	C:/xampp/htdocs/httrack/oyen/framerusercontent.com/images/T2rF2gVhtJHPrqZlGDe1GM7QMFM.jpg	(from https://oyen.framer.website/)
